(128, 0, 128) (255, 0, 255) (255, 165, 0) (128, 0, 128) (0, 0, 255) (0, 0, 255) (255, 192, 203) (255, 192, 203) (255, 0, 255) (255, 0, 0) (128, 0, 128) (255, 255, 0) (0, 255, 0) (0, 255, 0) (128, 0, 128) (0, 255, 0) (0, 255, 0) (255, 165, 0) (0, 255, 255) (255, 255, 0)
(255, 0, 255) (255, 0, 255) (255, 0, 255) (255, 255, 0) (0, 255, 0) (255, 0, 0) (255, 192, 203) (255, 0, 255) (255, 165, 0) (0, 255, 0) (255, 165, 0) (255, 165, 0) (255, 165, 0) (0, 255, 255) (128, 0, 128) (0, 0, 255) (0, 255, 255) (255, 0, 0) (255, 192, 203) (255, 0, 255)
(128, 0, 128) (255, 255, 0) (255, 255, 0) (255, 0, 0) (0, 255, 0) (255, 0, 0) (0, 255, 255) (0, 255, 255) (255, 255, 0) (128, 0, 128) (255, 0, 255) (0, 0, 255) (255, 165, 0) (255, 0, 255) (255, 0, 0) (0, 0, 255) (255, 165, 0) (0, 255, 0) (255, 0, 0) (128, 0, 128)
(128, 0, 128) (255, 255, 0) (255, 0, 0) (255, 255, 0) (128, 0, 128) (128, 0, 128) (255, 255, 0) (255, 0, 0) (0, 255, 255) (255, 0, 0) (0, 255, 0) (128, 0, 128) (128, 0, 128) (0, 255, 0) (128, 0, 128) (0, 255, 0) (0, 0, 255) (255, 255, 0) (255, 192, 203) (0, 0, 255)
(255, 255, 0) (255, 192, 203) (255, 165, 0) (255, 0, 255) (0, 255, 255) (255, 255, 0) (255, 0, 0) (0, 255, 255) (255, 255, 0) (0, 0, 255) (255, 165, 0) (0, 255, 255) (255, 165, 0) (255, 0, 0) (0, 255, 0) (255, 0, 255) (255, 0, 255) (255, 255, 0) (255, 165, 0) (0, 255, 255)
(0, 255, 255) (0, 0, 255) (255, 255, 0) (255, 0, 255) (128, 0, 128) (0, 0, 255) (255, 255, 0) (255, 255, 0) (0, 255, 255) (255, 255, 0) (255, 0, 255) (255, 255, 0) (0, 255, 0) (255, 165, 0) (0, 255, 0) (255, 0, 0) (255, 0, 255) (255, 0, 0) (0, 255, 255) (255, 165, 0)
(255, 255, 0) (255, 165, 0) (0, 0, 255) (255, 255, 0) (0, 0, 255) (128, 0, 128) (128, 0, 128) (128, 0, 128) (0, 255, 255) (255, 192, 203) (0, 0, 255) (0, 255, 255) (0, 255, 0) (255, 0, 0) (0, 255, 255) (128, 0, 128) (255, 165, 0) (0, 255, 0) (255, 255, 0) (0, 0, 255)
(0, 0, 255) (255, 192, 203) (128, 0, 128) (255, 255, 0) (255, 255, 0) (0, 255, 0) (0, 0, 255) (255, 192, 203) (0, 0, 255) (255, 192, 203) (255, 165, 0) (0, 0, 255) (255, 165, 0) (0, 0, 255) (255, 165, 0) (255, 165, 0) (255, 0, 255) (255, 165, 0) (255, 192, 203) (0, 255, 0)
(255, 192, 203) (0, 255, 255) (0, 255, 0) (255, 255, 0) (255, 0, 255) (255, 192, 203) (255, 255, 0) (255, 0, 255) (0, 0, 255) (255, 255, 0) (0, 255, 0) (255, 0, 0) (255, 0, 0) (128, 0, 128) (0, 255, 0) (255, 0, 0) (255, 192, 203) (255, 0, 255) (0, 255, 255) (128, 0, 128)
(0, 255, 0) (0, 255, 0) (255, 0, 0) (0, 255, 0) (255, 0, 0) (0, 255, 255) (0, 255, 0) (255, 255, 0) (255, 192, 203) (255, 192, 203) (255, 0, 255) (0, 0, 255) (255, 192, 203) (255, 192, 203) (255, 165, 0) (0, 255, 0) (0, 255, 255) (255, 165, 0) (0, 255, 255) (255, 165, 0)
(255, 255, 0) (0, 0, 255) (255, 192, 203) (255, 255, 0) (255, 255, 0) (128, 0, 128) (255, 0, 255) (255, 0, 0) (0, 255, 255) (128, 0, 128) (0, 255, 255) (0, 0, 255) (255, 255, 0) (128, 0, 128) (255, 165, 0) (0, 255, 255) (128, 0, 128) (255, 165, 0) (0, 255, 0) (255, 255, 0)
(0, 255, 0) (0, 0, 255) (255, 0, 0) (255, 0, 255) (0, 255, 0) (128, 0, 128) (255, 255, 0) (255, 0, 255) (255, 0, 255) (0, 0, 255) (0, 0, 255) (255, 0, 255) (255, 165, 0) (255, 192, 203) (0, 0, 255) (255, 0, 0) (0, 0, 255) (255, 192, 203) (0, 255, 255) (0, 255, 0)
(0, 255, 255) (255, 165, 0) (255, 192, 203) (255, 0, 255) (255, 255, 0) (128, 0, 128) (255, 0, 255) (0, 255, 0) (0, 255, 255) (255, 0, 255) (255, 0, 0) (255, 255, 0) (255, 255, 0) (0, 255, 0) (0, 255, 255) (255, 0, 0) (255, 0, 255) (255, 255, 0) (255, 0, 255) (0, 255, 0)
(255, 192, 203) (255, 0, 0) (0, 255, 255) (0, 255, 0) (255, 0, 255) (255, 0, 255) (0, 0, 255) (128, 0, 128) (255, 165, 0) (128, 0, 128) (255, 0, 0) (128, 0, 128) (0, 0, 255) (255, 165, 0) (255, 0, 0) (128, 0, 128) (255, 192, 203) (255, 255, 0) (255, 192, 203) (0, 0, 255)
(255, 165, 0) (128, 0, 128) (0, 0, 255) (255, 192, 203) (0, 255, 255) (0, 0, 255) (0, 0, 255) (255, 192, 203) (0, 0, 255) (128, 0, 128) (255, 0, 0) (255, 255, 0) (255, 192, 203) (128, 0, 128) (255, 192, 203) (255, 255, 0) (128, 0, 128) (255, 165, 0) (255, 255, 0) (255, 165, 0)
(255, 0, 255) (255, 0, 0) (0, 255, 255) (255, 255, 0) (255, 192, 203) (255, 165, 0) (0, 255, 0) (255, 165, 0) (128, 0, 128) (255, 165, 0) (255, 0, 0) (0, 255, 0) (0, 255, 0) (0, 0, 255) (128, 0, 128) (255, 0, 255) (255, 0, 0) (255, 255, 0) (128, 0, 128) (0, 0, 255)
(0, 0, 255) (0, 0, 255) (255, 255, 0) (128, 0, 128) (255, 255, 0) (255, 255, 0) (255, 165, 0) (255, 0, 0) (255, 0, 0) (255, 0, 0) (255, 0, 255) (255, 0, 0) (128, 0, 128) (255, 192, 203) (0, 255, 255) (255, 192, 203) (0, 0, 255) (0, 255, 0) (255, 192, 203) (255, 192, 203)
(255, 192, 203) (128, 0, 128) (255, 165, 0) (0, 0, 255) (0, 255, 0) (0, 255, 0) (0, 255, 0) (255, 192, 203) (0, 0, 255) (0, 255, 255) (255, 255, 0) (128, 0, 128) (255, 255, 0) (128, 0, 128) (255, 255, 0) (255, 0, 0) (0, 0, 255) (255, 165, 0) (255, 0, 255) (255, 192, 203)
(255, 0, 255) (255, 192, 203) (255, 0, 255) (255, 0, 0) (255, 192, 203) (255, 0, 0) (255, 165, 0) (255, 255, 0) (255, 192, 203) (255, 192, 203) (0, 255, 0) (128, 0, 128) (255, 255, 0) (255, 192, 203) (128, 0, 128) (0, 255, 0) (128, 0, 128) (0, 0, 255) (255, 165, 0) (255, 165, 0)
(255, 255, 0) (255, 0, 0) (0, 255, 0) (255, 165, 0) (0, 255, 255) (255, 255, 0) (255, 192, 203) (128, 0, 128) (0, 255, 0) (255, 255, 0) (255, 0, 0) (0, 0, 255) (0, 0, 255) (255, 0, 0) (255, 0, 0) (255, 0, 0) (0, 0, 255) (255, 192, 203) (0, 255, 0) (0, 0, 255)
